,시군구,소멸지수,1인당 자동차 등록대수,고등학교,대규모C,대규모W,병상 비율,병원,보건지소,보육시설 비율,소규모C,소규모W,약국,요양병원,유치원,인구 수,전규모W,종합병원,중규모C,중규모W,중학교,초등학교
2,부산광역시 동구,0.39,-0.080643272,-0.518552785,-0.332133356,-0.470161026,1.539616093,-0.016579785,-1.466935226,-0.694563255,-0.42814192,-0.420269048,-0.082763972,-0.113571039,1.248135294,-0.425358687,0.132440085,1.082572495,-0.520938822,-0.516344264,0.376290733,0.8232677
3,부산광역시 영도구,0.27,-0.932588036,-0.601769203,-0.411864927,-0.514006394,0.073915598,-0.443291104,-1.466935226,0.478785136,-0.530672582,-0.542679024,-0.211736509,-0.113571039,0.396536258,-0.292960895,-0.33941317,0.465581877,-0.560013429,-0.594868966,0.322444463,0.346660167
4,부산광역시 부산진구,0.63,-0.572965548,-0.349147935,-0.651059641,-0.632464161,0.396554072,1.690265487,-1.466935226,-1.23831007,-0.372733936,-0.420097124,1.787337817,1.310435063,1.355781239,1.219116611,1.359829858,1.082572495,-0.606902957,-0.61127796,0.825009656,1.083049489
5,부산광역시 동래구,0.52,-0.768379621,1.047699072,-0.730791213,-0.676403618,0.709974303,1.832502593,-1.466935226,-1.667583871,-0.850692529,-0.850423205,1.00060534,1.468657963,1.444290128,0.714456067,0.328275729,1.082572495,-0.884332666,-0.875184549,1.441998175,1.477835986
6,부산광역시 남구,0.48,-0.690213992,-0.298623682,-0.491596498,-0.555969987,-0.331687055,0.125657321,-1.466935226,-0.007725173,-0.709497105,-0.73172679,0.639482236,0.361097662,1.49213277,0.611358625,0.225819988,-0.15140874,-0.778831227,-0.782351659,1.139112902,1.240554983
7,부산광역시 북구,0.51,-0.73747693,-0.019254281,-0.730791213,-0.676403618,-0.110449244,0.552368639,-1.260271059,-0.379762467,-0.710014937,-0.701468144,0.458920684,1.152212163,0.877354814,0.748821881,-0.158529159,0.465581877,-0.704589474,-0.694231387,0.827253251,1.046230023
8,부산광역시 해운대구,0.52,-0.477530768,0.471128179,1.023303358,1.42017653,-0.156540455,1.121317063,-1.053606891,-0.665945002,1.305558373,1.30853117,1.297242176,1.310435063,1.609347244,1.407503033,1.147903583,0.465581877,1.151454349,0.948598487,1.15257447,1.242600508
10,부산광역시 금정구,0.44,-0.722025585,0.135290495,-0.411864927,-0.249993295,0.673101335,0.836842851,-1.466935226,-0.580090241,-0.759036331,-0.769893946,0.433126177,1.785103763,1.17637133,0.397284809,0.397248493,-0.768399358,-0.767108845,-0.75112347,0.896804684,1.078958437
11,부산광역시 강서구,0.84,0.03812001,1.448921084,-0.730791213,-0.676403618,-1.207420056,0.267894427,-0.640278556,-0.952127536,-0.743673992,-0.738810064,-0.379400807,-0.90468554,1.118960159,-0.079045757,1.214471792,-0.768399358,-0.782738688,-0.757596222,0.865394359,1.387832847
12,부산광역시 연제구,0.53,0.031454723,1.205215862,0.305719215,0.084021852,0.627010124,0.979079957,-1.466935226,-1.123837056,0.745954993,0.776666701,0.420228923,0.993989262,1.188331991,0.289140212,0.213761053,-0.15140874,0.670836685,0.532525448,0.867637954,1.3366947
