,시군구,소멸지수,1인당 자동차 등록대수,고등학교,대규모W,병상 비율,병원,보건지소,보육시설 비율,소규모C,요양병원,유치원,전규모W,종합병원,중학교
0,부산광역시 동구,0.39,-0.080643272,-0.518552785,-0.470161026,1.539616093,-0.016579785,-1.466935226,-0.694563255,-0.42814192,-0.113571039,1.248135294,0.132440085,1.082572495,0.376290733
1,부산광역시 영도구,0.27,-0.932588036,-0.601769203,-0.514006394,0.073915598,-0.443291104,-1.466935226,0.478785136,-0.530672582,-0.113571039,0.396536258,-0.33941317,0.465581877,0.322444463
2,부산광역시 부산진구,0.63,-0.572965548,-0.349147935,-0.632464161,0.396554072,1.690265487,-1.466935226,-1.23831007,-0.372733936,1.310435063,1.355781239,1.359829858,1.082572495,0.825009656
3,부산광역시 동래구,0.52,-0.768379621,1.047699072,-0.676403618,0.709974303,1.832502593,-1.466935226,-1.667583871,-0.850692529,1.468657963,1.444290128,0.328275729,1.082572495,1.441998175
4,부산광역시 남구,0.48,-0.690213992,-0.298623682,-0.555969987,-0.331687055,0.125657321,-1.466935226,-0.007725173,-0.709497105,0.361097662,1.49213277,0.225819988,-0.15140874,1.139112902
5,부산광역시 북구,0.51,-0.73747693,-0.019254281,-0.676403618,-0.110449244,0.552368639,-1.260271059,-0.379762467,-0.710014937,1.152212163,0.877354814,-0.158529159,0.465581877,0.827253251
6,부산광역시 해운대구,0.52,-0.477530768,0.471128179,1.42017653,-0.156540455,1.121317063,-1.053606891,-0.665945002,1.305558373,1.310435063,1.609347244,1.147903583,0.465581877,1.15257447
7,부산광역시 금정구,0.44,-0.722025585,0.135290495,-0.249993295,0.673101335,0.836842851,-1.466935226,-0.580090241,-0.759036331,1.785103763,1.17637133,0.397248493,-0.768399358,0.896804684
8,부산광역시 강서구,0.84,0.03812001,1.448921084,-0.676403618,-1.207420056,0.267894427,-0.640278556,-0.952127536,-0.743673992,-0.90468554,1.118960159,1.214471792,-0.768399358,0.865394359
9,부산광역시 연제구,0.53,0.031454723,1.205215862,0.084021852,0.627010124,0.979079957,-1.466935226,-1.123837056,0.745954993,0.993989262,1.188331991,0.213761053,-0.15140874,0.867637954
10,부산광역시 수영구,0.56,0.282917794,0.28983527,-0.469314227,0.461081766,0.267894427,-1.466935226,-1.266928323,-0.671004954,0.677543462,1.104607366,-0.158673794,0.465581877,0.829496845
11,부산광역시 사상구,0.5,-0.562361684,-0.155966966,-0.552865058,1.318378283,0.267894427,-1.466935226,0.278457362,-0.665136195,1.310435063,1.061548988,0.742021917,0.465581877,0.636547709
12,대구광역시 동구,0.49,-0.339680531,0.575148701,-0.593605497,-0.460742445,0.267894427,-1.466935226,-0.379762467,-0.697932199,0.361097662,1.008922081,0.660845584,0.465581877,0.542316735
13,대구광역시 서구,0.36,-0.442386532,0.664309148,1.157386584,0.820593209,0.267894427,-1.466935226,1.165623218,0.039460041,0.993989262,0.463515957,0.086355793,-0.15140874,-0.014094729
14,대구광역시 달성군,0.73,-0.199709521,1.214131906,-0.577139961,-0.497615413,-0.016579785,-0.020286053,-1.266928323,-0.387405832,0.519320562,1.618915773,0.644664555,-0.768399358,0.526611572
15,광주광역시 남구,0.57,-0.513583907,0.587036761,-0.676403618,1.180104651,0.979079957,-1.466935226,-0.265289454,-0.817033473,0.519320562,0.989785024,-0.037379357,1.699563112,0.840714818
16,대전광역시 중구,0.5,-0.530550091,-0.004394206,-0.542891648,0.792938482,-0.301053997,-1.260271059,0.707731163,-0.248799566,0.993989262,0.578338299,0.330698364,0.465581877,0.847445602
17,대전광역시 유성구,1.21,-0.185167078,0.536512507,-0.608471523,-0.368560024,1.263554169,-1.053606891,0.192602601,-0.28522039,0.519320562,0.956295175,1.96715177,-0.15140874,0.876612332
18,대전광역시 대덕구,0.56,-0.216069769,0.298751315,-0.676403618,-0.313250571,-0.158816891,-1.466935226,1.280096232,-0.779404375,-0.430016839,0.805590851,0.405655396,0.465581877,0.39872668
19,울산광역시 중구,0.53,-0.357858584,0.913958401,-0.676403618,-0.534488382,-0.016579785,-1.466935226,-0.522853734,-0.763696815,-0.113571039,0.994569289,-0.250408474,0.465581877,0.867637954
20,울산광역시 동구,0.61,-0.583569413,0.952594594,0.386705438,-0.414651234,-0.58552821,-1.466935226,-0.093579933,0.621848013,-0.430016839,1.417976674,0.20962088,-0.768399358,1.175010416
21,울산광역시 북구,1.05,-0.146993166,0.997174818,-0.646765654,-0.847908613,-0.158816891,-1.466935226,-0.608708495,-0.595056315,-0.113571039,1.437113731,0.707508416,0.465581877,1.125651334
22,세종특별자치시,1.16,-0.326046991,0.884238252,-0.676403618,-1.059928182,-0.58552821,0.599706449,-1.037982296,-0.818414357,-0.271793939,0.293674576,0.81470095,0.465581877,0.733022277
23,강원특별자치도 춘천시,0.58,-0.307263003,0.961510639,0.020323752,-0.26715936,-0.301053997,0.599706449,0.478785136,-0.250698282,0.361097662,0.965863703,0.594078502,0.465581877,1.121164145
24,강원특별자치도 원주시,0.66,-0.23939827,1.603465859,-0.508078801,-0.193413423,1.832502593,0.393042282,-0.122198186,-0.602305958,0.044651861,0.678807848,1.262960639,-0.15140874,1.287190146
25,강원특별자치도 강릉시,0.39,-0.175472116,0.735637506,-0.622208484,-0.469960687,-0.58552821,-0.020286053,0.049511334,-0.799599808,-0.588239739,0.458731693,0.24303154,1.082572495,1.03590755
