,시군구,소멸지수,1인당 자동차 등록대수,고등학교,대규모C,대규모W,병상 비율,병원,보건지소,보육시설 비율,소규모C,소규모W,약국,요양병원,유치원,인구 수,전규모W,종합병원,중규모C,중규모W,중학교,초등학교
2,부산광역시 동구,0.39489 ,-0.080643272,-0.518552785,-0.332133356,-0.470161026,1.5396160933442313,-0.016579785,-1.466935226,-0.694563255,-0.42814192,-0.420269048,-0.082763972,-0.113571039,1.2481352936908863,-0.425358687,0.13244008539369292,1.0825724945731106,-0.520938822,-0.516344264,0.376290733,0.8232677003773362
3,부산광역시 영도구,0.26848 ,-0.932588036,-0.601769203,-0.411864927,-0.514006394,0.073915598,-0.443291104,-1.466935226,0.47878513555188384,-0.530672582,-0.542679024,-0.211736509,-0.113571039,0.3965362575901579,-0.292960895,-0.33941317,0.4655818770366874,-0.560013429,-0.594868966,0.32244446266819804,0.3466601672975863
4,부산광역시 부산진구,0.63267 ,-0.572965548,-0.349147935,-0.651059641,-0.632464161,0.3965540716474341,1.6902654871666742,-1.466935226,-1.23831007,-0.372733936,-0.420097124,1.7873378170108638,1.3104350627445185,1.3557812392654172,1.2191166105923885,1.3598298584179147,1.0825724945731106,-0.606902957,-0.61127796,0.825009656,1.0830494887941957
5,부산광역시 동래구,0.52365 ,-0.768379621,1.0476990715642638,-0.730791213,-0.676403618,0.7099743034030077,1.8325025932111594,-1.466935226,-1.667583871,-0.850692529,-0.850423205,1.0006053403833453,1.4686579629129306,1.4442901278489193,0.7144560666606008,0.32827572918574127,1.0825724945731106,-0.884332666,-0.875184549,1.4419981747847852,1.4778359861521002
6,부산광역시 남구,0.47862 ,-0.690213992,-0.298623682,-0.491596498,-0.555969987,-0.331687055,0.12565732067733668,-1.466935226,-0.007725173,-0.709497105,-0.73172679,0.6394822363575989,0.3610976617340451,1.492132770326489,0.6113586247547139,0.22581998755265983,-0.15140874,-0.778831227,-0.782351659,1.139112901967673,1.2405549825587483
7,부산광역시 북구,0.51165 ,-0.73747693,-0.019254281,-0.730791213,-0.676403618,-0.110449244,0.5523686388107923,-1.260271059,-0.379762467,-0.710014937,-0.701468144,0.45892068434472577,1.1522121625761064,0.877354814,0.7488218806292297,-0.158529159,0.4655818770366874,-0.704589474,-0.694231387,0.8272532506967194,1.0462300227193653
8,부산광역시 해운대구,0.51823 ,-0.477530768,0.47112817928941425,1.023303357968865,1.42017653,-0.156540455,1.1213170629887332,-1.053606891,-0.665945002,1.3055583732413485,1.3085311704700187,1.2972421758330652,1.3104350627445185,1.6093472443965327,1.4075030331787213,1.1479035828888904,0.4655818770366874,1.1514543490666913,0.948598487,1.152574469648433,1.2426005084517946
10,부산광역시 금정구,0.44133 ,-0.722025585,0.13529049461385642,-0.411864927,-0.249993295,0.6731013349611753,0.8368428508997628,-1.466935226,-0.580090241,-0.759036331,-0.769893946,0.4331261769143153,1.785103763249755,1.1763713299745333,0.39728480898884666,0.397248493,-0.768399358,-0.767108845,-0.75112347,0.8968046837139821,1.0789584370081036
11,부산광역시 강서구,0.84485 ,0.038120009691738364,1.4489210842297526,-0.730791213,-0.676403618,-1.207420056,0.2678944267218219,-0.640278556,-0.952127536,-0.743673992,-0.738810064,-0.379400807,-0.90468554,1.1189601590014502,-0.079045757,1.214471791940065,-0.768399358,-0.782738688,-0.757596222,0.8653943591255406,1.3878328468580707
12,부산광역시 연제구,0.52589 ,0.031454723,1.2052158617218263,0.30571921545436936,0.084021852,0.6270101244088851,0.9790799569442481,-1.466935226,-1.123837056,0.745954993,0.776666701,0.4202289231991101,0.993989262,1.188331990593925,0.2891402123765034,0.213761053,-0.15140874,0.6708366852847477,0.5325254476385588,0.8676379537390011,1.3366946995319173
13,부산광역시 수영구,0.55507 ,0.28291779390553207,0.28983526986278624,-0.57132807,-0.469314227,0.4610817664206403,0.2678944267218219,-1.466935226,-1.266928323,-0.671004954,-0.693147017,0.27835913233185267,0.6775434620708696,1.1046073662581797,0.11380193581484291,-0.158673794,0.4655818770366874,-0.720219317,-0.732670449,0.8294968453101791,1.1423697396925343
14,부산광역시 사상구,0.49899 ,-0.562361684,-0.155966966,-0.491596498,-0.552865058,1.318378282693238,0.2678944267218219,-1.466935226,0.2784573615640953,-0.665136195,-0.681490561,0.12359208774938998,1.3104350627445185,1.0615489880283677,0.29068426333265024,0.7420219171640487,0.4655818770366874,-0.739756621,-0.747092194,0.636547709,0.6473524735753684
