,시군구,소멸지수,병상 비율,병원,보건지소,약국,요양병원,인구 수,종합병원,고등학교,보육시설 비율,유치원,중학교,초등학교,전규모W,1인당 자동차 등록대수,소규모C,중규모C,대규모C,소규모W,중규모W,대규모W
0,부산광역시 중구,0.42,46.8,2,0,46,4,39689,1,17.92,22.9,15.5,22.18,20.98,51999,1.029,8708,272,4,43725,17153,3314
1,부산광역시 서구,0.39,50.2,2,0,96,6,105192,2,18.8,12.5,17.71,24.45,19.77,32792,0.3049,1084,36,1,5108,2117,1804
2,부산광역시 동구,0.39,33.6,5,0,68,5,86462,3,18.2,14.9,18.24,21.97,19.86,58075,0.5975,3101,104,5,15430,6814,2192
3,부산광역시 영도구,0.27,17.7,2,0,58,5,108156,2,17.92,19,14.68,21.73,17.53,31976,0.3163,2507,94,4,11870,5431,1726
4,부산광역시 부산진구,0.63,21.2,17,0,213,14,355917,3,18.77,13,18.69,23.97,21.13,125964,0.435,3422,82,1,15435,5142,467
5,부산광역시 동래구,0.52,24.6,18,0,152,15,273226,3,23.47,11.5,19.06,26.72,23.06,68907,0.3705,653,11,0,2920,494,0
6,부산광역시 남구,0.48,13.3,6,0,124,8,256333,1,18.94,17.3,19.26,25.37,21.9,63240,0.3963,1471,38,3,6372,2129,1280
7,부산광역시 북구,0.51,15.7,9,1,110,13,278857,2,19.88,16,16.69,23.98,20.95,41981,0.3807,1468,57,0,7252,3681,0
8,부산광역시 해운대구,0.52,15.2,13,2,175,14,386785,2,21.53,15,19.75,25.43,21.91,114242,0.4665,13145,532,22,65708,32615,22283
9,부산광역시 사하구,0.46,24,20,0,133,21,301987,0,20.95,16.8,17.34,24.23,21.19,83336,0.3796,1036,21,0,5404,1030,0
10,부산광역시 금정구,0.44,24.2,11,0,108,17,221256,0,20.4,15.3,17.94,24.29,21.11,72722,0.3858,1184,41,4,5262,2679,4532
11,부산광역시 강서구,0.84,3.8,7,4,45,0,143207,0,24.82,14,17.7,24.15,22.62,117924,0.6367,1273,37,0,6166,2565,0
12,부산광역시 연제구,0.53,23.7,12,0,107,12,203536,1,24,13.4,17.99,24.16,22.37,62573,0.6345,9903,409,13,50240,25287,8082
13,부산광역시 수영구,0.56,21.9,7,0,96,10,174806,2,20.92,12.9,17.64,23.99,21.42,41973,0.7175,1694,53,2,7494,3004,2201
14,부산광역시 사상구,0.5,31.2,7,0,84,14,203789,2,19.42,18.3,17.46,23.13,19,91792,0.4385,1728,48,3,7833,2750,1313
15,부산광역시 기장군,0.57,9.9,5,4,65,5,178614,1,27.42,17.5,15.76,25.62,22.69,56112,0.5018,2265,86,3,10715,4575,1857
16,대구광역시 중구,0.75,42.1,11,0,152,2,80199,2,22.44,11.5,20.52,22.98,21.91,62445,0.7763,686,4,0,3147,164,0
17,대구광역시 동구,0.49,11.9,7,0,180,8,339530,2,21.88,16,17.24,22.71,21.63,87302,0.512,1538,69,2,7685,5586,880
18,대구광역시 서구,0.36,25.8,7,0,107,12,159827,1,22.18,21.4,14.96,20.23,18.03,55526,0.4781,5810,360,5,28957,28195,19490
19,대구광역시 남구,0.47,34,5,0,107,9,141519,2,22.22,14.7,22.33,21.92,19.31,40244,0.4064,1861,83,0,9245,4734,0
20,대구광역시 북구,0.67,17.6,20,1,209,13,430912,1,22,15.2,18.42,22.52,21.76,113769,0.4893,1590,78,2,7787,5000,765
21,대구광역시 수성구,0.57,11.3,13,0,211,10,411553,1,22.36,12.5,20.18,25.42,23.77,98664,0.535,23487,901,18,122031,56777,10744
22,대구광역시 달서구,0.65,17.6,21,0,276,12,536989,5,22.2,15.4,20.13,24.25,22.42,159698,0.5474,1574,42,0,6782,2751,0
23,대구광역시 달성군,0.73,11.5,5,7,94,9,263162,0,24.03,12.9,19.79,22.64,21.98,86407,0.5582,3337,200,3,16907,11118,1055
24,경상북도 군위군,0.1,0.4,0,7,8,0,23340,0,18.31,14.3,6.25,11.32,8.66,5810,0.694,4192,210,5,20752,13614,7059
25,광주광역시 동구,0.58,57.5,5,0,104,9,105909,1,23.23,13.1,17.14,20.96,18.48,53506,0.4583,1186,51,0,5524,2705,0
26,광주광역시 서구,0.76,21.5,22,0,148,9,287401,5,23.53,19,17.29,23.84,20.25,122795,0.5311,12257,639,23,64228,41852,16337
27,광주광역시 남구,0.57,29.7,12,0,115,9,212379,4,21.92,16.4,17.16,24.04,22,48682,0.4546,848,39,0,4341,2079,0
28,광주광역시 북구,0.7,26,26,0,202,18,424707,6,23.51,16.8,17.46,23.45,20.06,128696,0.4884,11847,430,11,58287,29573,9912
29,광주광역시 광산구,1.14,24,17,1,160,16,400654,7,26.11,19.2,17.6,24.55,20.66,134227,0.5444,2113,115,1,11494,6752,1209
30,대전광역시 동구,0.52,16,3,1,120,13,219751,1,19.63,21.6,15.38,23.38,18.38,54791,0.446,33519,1624,80,168296,106594,64560
31,대전광역시 중구,0.5,25.5,3,1,151,12,227108,2,19.93,19.8,15.44,24.07,18.47,69041,0.449,4140,133,3,18623,7331,1419
32,대전광역시 서구,0.91,15.6,23,2,263,10,470374,3,23,19,15.99,24.43,21.31,129928,0.4835,1223,44,2,5586,2333,1140
33,대전광역시 유성구,1.21,12.9,14,2,145,9,356093,1,21.75,18,17.02,24.2,20.71,159556,0.563,3929,180,2,22255,11392,722
34,대전광역시 대덕구,0.56,13.5,4,0,86,3,172746,2,20.95,21.8,16.39,22.07,17.31,73187,0.5528,1066,34,0,5171,2285,0
35,울산광역시 중구,0.53,11.1,5,0,81,5,208132,2,23.02,15.5,17.18,24.16,20.95,36899,0.506,1157,57,0,6067,2904,0
36,울산광역시 남구,0.76,19.7,20,1,157,16,310638,3,22.45,16.2,17.8,25.66,21.48,131305,0.5311,9012,414,17,48740,26422,12756
37,울산광역시 동구,0.61,12.4,1,0,70,3,151711,0,23.15,17,18.95,25.53,21.06,62344,0.4315,9184,493,14,48903,32352,11299
38,울산광역시 북구,1.05,7.7,4,0,57,5,218670,2,23.3,15.2,19.03,25.31,22.45,89883,0.5756,2134,73,1,11470,3657,315
39,울산광역시 울주군,0.52,14.8,4,7,68,10,221512,1,22.76,14.9,15.08,23.85,20.16,91064,0.6213,13360,665,46,69502,43011,44680
40,세종특별자치시,1.16,5.4,1,10,157,4,383591,2,22.92,13.7,14.25,23.56,19.77,95812,0.5165,840,29,0,3994,1816,0
41,강원특별자치도 춘천시,0.58,14,3,10,135,8,286664,2,23.18,19,17.06,25.29,19.87,83609,0.5227,4129,194,12,21222,13267,7405
42,강원특별자치도 원주시,0.66,14.8,18,9,188,6,360807,1,25.34,16.9,15.86,26.03,19.57,120606,0.5451,2092,77,2,10194,4716,1789
43,강원특별자치도 강릉시,0.39,11.8,1,7,92,2,211381,3,22.42,17.5,14.94,24.91,17.83,64192,0.5662,949,28,1,4735,1639,576
44,강원특별자치도 동해시,0.35,14.6,2,1,40,3,89426,1,20.62,21.4,14.09,25.03,19.67,24436,0.5557,2815,106,3,13378,6501,2614
