,시군구,병상 비율,인구 수,상급종합병원,종합병원,병원,요양병원,보건의료원,보건소,보건지소,약국
0,부산광역시 중구,46.8,39689.0,0,1,2,4,0,1,0,46
1,부산광역시 서구,50.2,105192.0,2,2,2,6,0,1,0,96
2,부산광역시 동구,33.6,86462.0,0,3,5,5,0,1,0,68
3,부산광역시 영도구,17.7,108156.0,0,2,2,5,0,1,0,58
4,부산광역시 부산진구,21.2,355917.0,1,3,17,14,0,1,0,213
5,부산광역시 동래구,24.6,273226.0,0,3,18,15,0,1,0,152
6,부산광역시 남구,13.3,256333.0,0,1,6,8,0,1,0,124
7,부산광역시 북구,15.7,278857.0,0,2,9,13,0,1,1,110
8,부산광역시 해운대구,15.2,386785.0,0,2,13,14,0,1,2,175
9,부산광역시 사하구,24.0,301987.0,0,0,20,21,0,1,0,133
10,부산광역시 금정구,24.2,221256.0,0,0,11,17,0,1,0,108
11,부산광역시 강서구,3.8,143207.0,0,0,7,0,0,1,4,45
12,부산광역시 연제구,23.7,203536.0,0,1,12,12,0,1,0,107
13,부산광역시 수영구,21.9,174806.0,0,2,7,10,0,1,0,96
14,부산광역시 사상구,31.2,203789.0,0,2,7,14,0,1,0,84
15,부산광역시 기장군,9.9,178614.0,0,1,5,5,0,1,4,65
16,대구광역시 중구,42.1,80199.0,1,2,11,2,0,1,0,152
17,대구광역시 동구,11.9,339530.0,0,2,7,8,0,1,0,180
18,대구광역시 서구,25.8,159827.0,0,1,7,12,0,1,0,107
19,대구광역시 남구,34.0,141519.0,2,2,5,9,0,1,0,107
20,대구광역시 북구,17.6,430912.0,1,1,20,13,0,1,1,209
21,대구광역시 수성구,11.3,411553.0,0,1,13,10,0,1,0,211
22,대구광역시 달서구,17.6,536989.0,1,5,21,12,0,1,0,276
23,대구광역시 달성군,11.5,263162.0,0,0,5,9,0,1,7,94
24,광주광역시 동구,57.5,105909.0,2,1,5,9,0,1,0,104
25,광주광역시 서구,21.5,287401.0,0,5,22,9,0,1,0,148
26,광주광역시 남구,29.7,212379.0,0,4,12,9,0,1,0,115
27,광주광역시 북구,26.0,424707.0,0,6,26,18,0,1,0,202
28,광주광역시 광산구,24.0,400654.0,0,7,17,16,0,1,1,160
29,대전광역시 동구,16.0,219751.0,0,1,3,13,0,1,1,120
30,대전광역시 중구,25.5,227108.0,1,2,3,12,0,1,1,151
31,대전광역시 서구,15.6,470374.0,0,3,23,10,0,1,2,263
32,대전광역시 유성구,12.9,356093.0,0,1,14,9,0,1,2,145
33,대전광역시 대덕구,13.5,172746.0,0,2,4,3,0,1,0,86
34,울산광역시 중구,11.1,208132.0,0,2,5,5,0,1,0,81
35,울산광역시 남구,19.7,310638.0,0,3,20,16,0,1,1,157
36,울산광역시 동구,12.4,151711.0,1,0,1,3,0,1,0,70
37,울산광역시 북구,7.7,218670.0,0,2,4,5,0,1,0,57
38,울산광역시 울주군,14.8,221512.0,0,1,4,10,0,1,7,68
39,세종특별자치시,5.4,383591.0,0,2,1,4,0,1,10,157
40,강원특별자치도 춘천시,14.0,286664.0,0,2,3,8,0,1,10,135
41,강원특별자치도 원주시,14.8,360807.0,1,1,18,6,0,1,9,188
42,강원특별자치도 강릉시,11.8,211381.0,1,3,1,2,0,1,7,92
43,강원특별자치도 동해시,14.6,89426.0,0,1,2,3,0,1,1,40
44,강원특별자치도 태백시,10.7,39428.0,0,1,1,0,0,1,1,18
45,강원특별자치도 속초시,10.2,82806.0,0,2,0,2,0,1,0,41
46,강원특별자치도 삼척시,6.5,63455.0,0,1,1,1,0,1,8,26
47,강원특별자치도 홍천군,10.2,67977.0,0,1,2,2,0,1,8,27
48,강원특별자치도 횡성군,4.3,46532.0,0,0,1,1,0,1,8,18
49,강원특별자치도 영월군,8.4,37728.0,0,1,1,1,0,1,7,17
50,강원특별자치도 평창군,3.9,40990.0,0,0,0,2,1,0,6,20
51,강원특별자치도 정선군,5.6,34931.0,0,0,2,0,0,1,7,14
52,강원특별자치도 철원군,7.2,42256.0,0,0,1,1,0,1,4,21
53,강원특별자치도 화천군,1.8,23388.0,0,0,0,0,1,0,4,8
54,강원특별자치도 양구군,7.4,21383.0,0,0,3,0,0,1,4,8
55,강원특별자치도 인제군,3.9,32206.0,0,0,1,1,0,1,5,14
56,강원특별자치도 고성군,0.0,27274.0,0,0,0,0,0,1,3,10
57,강원특별자치도 양양군,0.0,27866.0,0,0,0,0,0,1,5,12
58,충청북도 충주시,13.6,208277.0,0,2,3,7,0,1,13,89
59,충청북도 제천시,16.0,130988.0,0,2,1,5,0,1,8,54
60,충청북도 청주시,12.4,849573.0,1,6,25,12,0,4,13,385
61,충청북도 보은군,24.3,31455.0,0,0,1,3,0,1,8,16
62,충청북도 옥천군,16.9,49520.0,0,1,0,3,0,1,8,19
63,충청북도 영동군,16.4,44956.0,0,0,1,2,0,1,10,24
64,충청북도 진천군,10.3,86147.0,0,1,1,1,0,1,6,37
65,충청북도 괴산군,10.5,37055.0,0,0,2,0,0,1,12,11
66,충청북도 음성군,20.5,92058.0,0,0,2,2,0,1,8,43
67,충청북도 단양군,7.0,27767.0,0,0,0,1,0,1,7,10
68,충청북도 증평군,6.6,37262.0,0,0,0,1,0,1,1,25
69,충청남도 천안시,14.8,657559.0,2,2,24,19,0,2,12,300
70,충청남도 공주시,36.5,102571.0,0,1,0,8,0,1,10,56
71,충청남도 보령시,10.3,97157.0,0,1,2,2,0,1,10,49
72,충청남도 아산시,10.6,334539.0,0,1,7,7,0,1,11,119
73,충청남도 서산시,5.4,176413.0,0,2,1,1,0,1,10,74
74,충청남도 논산시,25.2,112617.0,0,1,2,10,0,1,13,70
75,충청남도 계룡시,6.2,44475.0,0,0,1,1,0,1,2,17
76,충청남도 당진시,7.0,168253.0,0,1,4,4,0,1,11,71
77,충청남도 금산군,11.9,50092.0,0,0,1,3,0,1,9,36
78,충청남도 부여군,18.0,62343.0,0,0,1,3,0,1,15,34
79,충청남도 서천군,19.8,49964.0,0,0,1,4,0,1,10,28
80,충청남도 청양군,7.0,30266.0,0,0,0,2,1,0,9,13
81,충청남도 홍성군,15.5,98068.0,0,1,0,3,0,1,10,45
82,충청남도 예산군,6.7,77385.0,0,1,2,1,0,1,12,39
83,충청남도 태안군,5.7,61335.0,0,0,0,1,1,0,6,31
84,전라북도 전주시,25.6,651495.0,1,5,26,34,0,2,0,382
85,전라북도 군산시,17.9,262467.0,0,2,7,9,0,1,14,138
86,전라북도 익산시,19.1,273697.0,1,1,7,11,0,1,14,155
87,전라북도 정읍시,22.3,105081.0,0,1,4,5,0,1,15,61
88,전라북도 남원시,19.2,77948.0,0,1,1,4,0,1,15,41
89,전라북도 김제시,44.7,81455.0,0,0,4,4,0,1,14,44
90,전라북도 완주군,21.1,92422.0,0,0,2,6,0,1,12,42
91,전라북도 진안군,10.7,24550.0,0,0,2,0,0,1,10,9
92,전라북도 무주군,2.5,23489.0,0,0,0,0,1,0,5,13
93,전라북도 장수군,1.8,21336.0,0,0,0,0,1,0,5,9
94,전라북도 임실군,16.0,26508.0,0,0,1,1,1,0,11,14
95,전라북도 순창군,26.2,26727.0,0,0,1,2,1,0,10,13
96,전라북도 고창군,20.0,52338.0,0,1,1,5,0,1,12,24
97,전라북도 부안군,19.1,50094.0,0,1,4,2,0,1,11,30
98,전라남도 목포시,34.4,216939.0,0,5,17,10,0,1,1,122
99,전라남도 여수시,20.0,274765.0,0,3,7,12,0,1,12,126
100,전라남도 순천시,22.8,278737.0,0,6,17,7,0,1,9,128
101,전라남도 나주시,33.8,116456.0,0,2,1,7,0,1,13,54
102,전라남도 광양시,10.8,152168.0,0,2,3,5,0,1,8,50
103,전라남도 담양군,37.0,45792.0,0,0,1,6,0,1,11,22
104,전라남도 곡성군,9.8,27060.0,0,0,1,1,1,0,8,15
105,전라남도 구례군,25.3,24655.0,0,0,1,3,1,0,7,11
106,전라남도 고흥군,22.0,61880.0,0,1,3,1,0,1,16,32
107,전라남도 보성군,32.2,38471.0,0,0,2,3,0,1,10,27
108,전라남도 화순군,68.5,62024.0,1,0,3,12,0,1,12,33
109,전라남도 장흥군,15.7,35650.0,0,1,2,1,0,1,8,17
110,전라남도 강진군,14.0,33177.0,0,0,1,1,0,1,10,14
111,전라남도 해남군,20.9,65831.0,0,2,1,1,0,1,13,34
112,전라남도 영암군,9.9,52395.0,0,0,2,1,0,1,10,24
113,전라남도 무안군,15.0,90608.0,0,1,1,4,0,1,8,38
114,전라남도 함평군,10.5,30784.0,0,0,2,1,0,1,8,15
115,전라남도 영광군,22.9,52197.0,0,2,0,1,0,1,8,27
116,전라남도 장성군,15.2,43146.0,0,0,2,2,0,1,10,16
117,전라남도 완도군,3.0,47597.0,0,0,1,0,1,0,12,22
118,전라남도 진도군,6.8,29507.0,0,0,2,1,0,1,6,14
119,전라남도 신안군,10.1,37858.0,0,0,2,2,0,1,16,11
120,경상북도 포항시,20.3,496650.0,0,5,10,28,0,2,14,225
121,경상북도 경주시,16.1,249607.0,0,1,10,11,0,1,12,111
122,경상북도 김천시,14.8,139324.0,0,2,0,3,0,1,15,52
123,경상북도 안동시,33.4,154610.0,0,3,3,8,0,1,14,65
124,경상북도 구미시,9.9,408110.0,0,3,4,10,0,2,8,164
125,경상북도 영주시,23.6,100749.0,0,1,4,4,0,1,10,44
126,경상북도 영천시,20.7,101088.0,0,1,1,4,0,1,11,44
127,경상북도 상주시,15.5,94823.0,0,2,1,2,0,1,18,43
128,경상북도 문경시,14.9,70373.0,0,1,1,1,0,1,9,43
129,경상북도 경산시,14.6,267725.0,0,1,6,10,0,1,8,114
130,경상북도 군위군,0.4,23340.0,0,0,0,0,0,1,7,8
131,경상북도 의성군,24.5,50186.0,0,0,2,5,0,1,17,21
132,경상북도 청송군,13.1,24295.0,0,0,0,0,1,0,6,11
133,경상북도 영양군,3.1,16022.0,0,0,1,0,0,1,5,3
134,경상북도 영덕군,9.9,34650.0,0,0,1,2,0,1,8,22
135,경상북도 청도군,30.2,41614.0,0,0,2,5,0,1,8,17
136,경상북도 고령군,6.5,30353.0,0,0,1,1,0,1,7,11
137,경상북도 성주군,18.7,42566.0,0,0,1,4,0,1,9,16
138,경상북도 칠곡군,15.9,112487.0,0,0,1,4,0,1,7,44
139,경상북도 예천군,11.8,55755.0,0,0,1,2,0,1,10,18
140,경상북도 봉화군,8.0,30139.0,0,0,1,1,0,1,9,11
141,경상북도 울진군,7.3,47030.0,0,0,1,2,0,1,9,19
142,경상북도 울릉군,7.0,8996.0,0,0,0,1,1,0,2,2
143,경상남도 진주시,19.7,343782.0,1,3,14,7,0,1,12,171
144,경상남도 통영시,15.1,122681.0,0,1,5,3,0,1,3,59
145,경상남도 사천시,27.5,109369.0,0,0,4,5,0,1,7,52
146,경상남도 김해시,20.3,535129.0,0,5,23,31,0,2,7,193
147,경상남도 밀양시,20.3,102945.0,0,0,7,4,0,1,9,45
148,경상남도 거제시,9.7,236662.0,0,3,6,2,0,1,10,83
149,경상남도 양산시,22.5,353792.0,1,2,10,13,0,1,6,142
