시군구,1000인 이상(W),100~199인(W),10~29인(W),1~4인(W),200~299인(W),300~499인(W),30~49인(W),500~999인(W),50~99인(W),5~9인(W),전규모(W)
강원특별자치도 강릉시,1624,3237,16341,14884,2305,834,5530,856,6081,12500,64192
강원특별자치도 고성군,1804,328,1740,1912,297,0,886,0,606,1456,9029
강원특별자치도 동해시,0,1541,5610,5253,999,1487,2112,705,2162,4567,24436
강원특별자치도 삼척시,0,899,4478,4100,419,1091,1935,635,2178,3292,19027
강원특별자치도 속초시,0,551,4622,6335,989,467,1804,0,1798,4478,21044
강원특별자치도 양구군,0,0,963,1151,0,0,297,0,197,806,3414
강원특별자치도 양양군,0,322,2195,2599,206,628,1005,652,596,1578,9781
강원특별자치도 영월군,0,747,3067,2352,747,0,1226,0,961,1833,10933
강원특별자치도 원주시,13854,6102,25031,21604,3123,4058,11261,4371,12129,19073,120606
강원특별자치도 인제군,0,106,2116,1646,0,0,534,0,390,1642,6434
강원특별자치도 정선군,2896,559,1787,2067,290,858,732,778,1098,1408,12473
강원특별자치도 철원군,0,842,2214,2155,207,0,577,0,939,1797,8731
강원특별자치도 춘천시,1607,6223,18324,16182,1872,2436,8308,4039,8884,15734,83609
강원특별자치도 태백시,1874,603,2859,2857,289,327,1451,0,661,1778,12699
강원특별자치도 평창군,0,630,2680,3030,0,687,967,626,1153,2123,11896
강원특별자치도 홍천군,1145,1086,4072,3878,0,712,2063,0,1426,2765,17147
강원특별자치도 화천군,0,0,957,1116,0,0,99,0,65,1074,3311
강원특별자치도 횡성군,0,2156,2977,2504,795,880,1121,0,1514,2204,14151
경상남도 거제시,18220,11478,10888,9796,2543,1270,4990,0,9184,8273,76642
경상남도 거창군,0,473,3515,3041,274,0,1801,0,2186,2689,13979
경상남도 고성군,0,1142,3346,2448,712,765,1704,0,1442,1993,13552
경상남도 김해시,3009,13439,47656,38590,5410,3485,18267,4250,19661,35785,189552
경상남도 남해군,0,278,2302,2971,701,0,768,0,1004,1509,9533
경상남도 밀양시,0,1353,6937,5366,446,1055,4036,0,5283,4604,29080
경상남도 사천시,4833,2545,7686,7452,2181,1395,4320,831,4568,5614,41425
경상남도 산청군,0,415,2292,1964,0,0,1069,0,1221,1268,8229
경상남도 양산시,9319,9766,25514,19615,5424,5071,13326,1947,13336,19099,122417
경상남도 의령군,0,480,1701,1312,0,0,881,0,718,1328,6420
경상남도 진주시,6248,7151,21474,20601,4136,1970,7916,1694,10370,16212,97772
경상남도 창녕군,1209,990,5467,3300,535,0,2602,0,2625,2727,19455
경상남도 창원시,31264,25446,65307,56567,12424,15868,32008,17428,36716,46422,339450
경상남도 통영시,0,1469,6407,7505,205,749,3285,670,2372,4711,27373
경상남도 하동군,0,704,2144,1986,0,445,1038,695,591,1456,9059
경상남도 함안군,0,2740,10263,5943,942,722,3710,0,4000,6049,34369
경상남도 함양군,0,319,1871,1836,582,0,780,0,604,1464,7456
경상남도 합천군,0,582,2541,1818,0,0,1437,0,885,1708,8971
경상북도 경산시,7252,7399,20797,14471,2360,3641,8862,1863,7801,13472,87918
경상북도 경주시,6042,8011,20907,14852,4139,2434,10077,2823,10125,13144,92554
경상북도 고령군,0,768,4610,3447,0,315,1929,0,960,3413,15442
경상북도 구미시,27684,11431,28059,21292,4399,6851,13370,10145,13811,20151,157193
경상북도 군위군,0,407,1636,1349,0,0,545,0,864,1009,5810
경상북도 김천시,3213,3845,8832,6992,1255,2459,3273,1733,4894,5398,41894
경상북도 문경시,1309,1294,3918,3514,210,480,1591,0,1621,2762,16699
경상북도 봉화군,0,128,1926,1412,223,0,597,576,691,1397,6950
경상북도 상주시,1508,819,4884,4824,1218,305,2374,801,2090,3670,22493
경상북도 성주군,0,807,4374,3987,213,0,1781,0,1365,4074,16601
경상북도 안동시,1224,2176,8604,8479,1252,930,3816,1197,4696,7037,39411
경상북도 영덕군,0,194,1456,2165,0,0,969,0,730,1536,7050
경상북도 영양군,0,139,731,612,263,0,300,0,309,558,2912
경상북도 영주시,0,1115,5002,6459,1315,305,2364,1471,2865,4054,24950
경상북도 영천시,1699,3621,8698,5632,1836,351,4323,509,4517,5716,36902
경상북도 예천군,0,905,2160,2380,0,0,856,0,962,1914,9177
경상북도 울릉군,0,0,518,1093,0,0,34,0,0,564,2209
경상북도 울진군,2737,578,2171,2795,202,0,861,0,1242,1987,12573
경상북도 의성군,0,289,2505,2171,0,400,1399,0,850,1722,9336
경상북도 청도군,0,486,2261,2349,0,0,902,0,934,1468,8400
경상북도 청송군,2079,110,1367,1188,0,0,528,0,478,924,6674
경상북도 칠곡군,1972,2602,13925,10071,1878,331,4953,880,4620,9213,50445
경상북도 포항시,13133,16416,29718,27503,10293,9343,14202,3157,18369,22581,164715
전라남도 강진군,0,801,1754,1891,0,0,737,0,408,1398,6989
전라남도 고흥군,0,530,3820,3112,207,0,1440,0,1391,2682,13182
전라남도 곡성군,1818,312,1996,1356,240,0,1119,0,524,1057,8422
전라남도 광양시,8600,8829,12282,9002,5661,1669,5678,2751,6945,8087,69504
전라남도 구례군,0,100,1394,1257,0,0,485,0,1128,899,5263
전라남도 나주시,3343,2351,9344,6411,2724,999,3281,3670,4128,6112,42363
전라남도 담양군,0,873,3968,3063,227,0,2229,0,1635,3115,15110
전라남도 목포시,0,2951,11843,12127,1929,1530,4518,1559,5148,9625,51230
전라남도 무안군,0,1057,4704,4748,470,348,2480,0,1792,3854,19453
전라남도 보성군,0,1134,2071,2063,0,468,446,0,737,1507,8426
전라남도 순천시,0,6072,17683,15435,3858,2112,6684,1496,7854,12920,74114
전라남도 신안군,0,155,1916,1826,0,0,712,0,859,1405,6873
전라남도 여수시,6060,10189,20056,16168,6451,4884,9728,4354,12753,13139,103782
전라남도 영광군,1771,1313,2479,3283,500,0,835,0,836,3477,14494
전라남도 영암군,3506,4132,6243,4283,440,0,2711,0,4138,3787,29240
전라남도 완도군,0,409,2396,2788,0,0,939,0,305,2431,9268
전라남도 장성군,0,597,5501,2767,451,336,1843,0,2996,3065,17556
전라남도 장흥군,0,420,1930,2062,708,0,1070,0,599,1814,8603
전라남도 진도군,0,111,1174,1854,0,0,746,0,110,1220,5215
전라남도 함평군,0,380,2185,1785,0,0,942,0,896,1537,7725
전라남도 해남군,0,331,3697,3749,298,1172,1188,0,1316,3227,14978
전라남도 화순군,1588,1546,4405,3481,235,403,2169,850,2485,3171,20333
전라북도 고창군,0,883,3112,2738,466,0,1086,750,837,2163,12035
전라북도 군산시,2698,5710,16561,14437,3222,1562,7266,2977,9962,13199,77594
전라북도 김제시,0,2453,6765,5252,1263,716,3419,620,3521,4119,28128
