,시군구,65세 이상 인구 수,20-39세 여성 인구,소멸지수
0,부산광역시 중구,11866,4933,0.42
1,부산광역시 서구,29273,11452,0.39
2,부산광역시 동구,25093,9909,0.39
3,부산광역시 영도구,33675,9041,0.27
4,부산광역시 부산진구,79321,50184,0.63
5,부산광역시 동래구,57512,30116,0.52
6,부산광역시 남구,58953,28216,0.48
7,부산광역시 북구,59154,30266,0.51
8,부산광역시 해운대구,79666,41285,0.52
9,부산광역시 사하구,69050,31628,0.46
10,부산광역시 금정구,54066,23861,0.44
11,부산광역시 강서구,20180,17049,0.84
12,부산광역시 연제구,46217,24305,0.53
13,부산광역시 수영구,42528,23606,0.56
14,부산광역시 사상구,45700,22804,0.5
15,부산광역시 기장군,32945,18942,0.57
16,대구광역시 중구,17113,12880,0.75
17,대구광역시 동구,76756,37985,0.49
18,대구광역시 서구,42936,15541,0.36
19,대구광역시 남구,36561,17052,0.47
20,대구광역시 북구,73675,49517,0.67
21,대구광역시 수성구,75007,42660,0.57
22,대구광역시 달서구,93762,60876,0.65
23,대구광역시 달성군,40217,29536,0.73
24,경상북도 군위군,10311,1002,0.1
25,광주광역시 동구,24239,14132,0.58
26,광주광역시 서구,48395,36715,0.76
27,광주광역시 남구,42485,24240,0.57
28,광주광역시 북구,74406,52388,0.7
29,광주광역시 광산구,44353,50502,1.14
30,대전광역시 동구,47641,24676,0.52
31,대전광역시 중구,50631,25497,0.5
32,대전광역시 서구,71534,64941,0.91
33,대전광역시 유성구,41897,50756,1.21
34,대전광역시 대덕구,33053,18583,0.56
35,울산광역시 중구,39470,21001,0.53
36,울산광역시 남구,47347,35840,0.76
37,울산광역시 동구,25291,15433,0.61
38,울산광역시 북구,23347,24598,1.05
39,울산광역시 울주군,40254,21066,0.52
40,세종특별자치시,42560,49188,1.16
41,강원특별자치도 춘천시,58611,33770,0.58
42,강원특별자치도 원주시,64487,42270,0.66
43,강원특별자치도 강릉시,51700,19971,0.39
44,강원특별자치도 동해시,20861,7343,0.35
45,강원특별자치도 태백시,11300,2659,0.24
46,강원특별자치도 속초시,18496,7697,0.42
47,강원특별자치도 삼척시,18014,5184,0.29
48,강원특별자치도 홍천군,21287,4866,0.23
49,강원특별자치도 횡성군,16038,2802,0.17
50,강원특별자치도 영월군,12705,2334,0.18
51,강원특별자치도 평창군,13501,2431,0.18
52,강원특별자치도 정선군,11250,2022,0.18
53,강원특별자치도 철원군,11093,3577,0.32
54,강원특별자치도 화천군,6136,2066,0.34
55,강원특별자치도 양구군,5278,1902,0.36
56,강원특별자치도 인제군,7627,2858,0.37
57,강원특별자치도 고성군,8773,1965,0.22
58,강원특별자치도 양양군,9398,1792,0.19
59,충청북도 충주시,48022,19368,0.4
60,충청북도 제천시,33722,11632,0.34
61,충청북도 청주시,134501,105718,0.79
62,충청북도 보은군,12177,1659,0.14
63,충청북도 옥천군,16665,3198,0.19
64,충청북도 영동군,16161,2700,0.17
65,충청북도 진천군,15933,8514,0.53
66,충청북도 괴산군,14476,1827,0.13
67,충청북도 음성군,22823,7369,0.32
68,충청북도 단양군,10063,1538,0.15
69,충청북도 증평군,7694,3786,0.49
70,충청남도 천안시,85875,87848,1.02
71,충청남도 공주시,30500,8915,0.29
72,충청남도 보령시,28525,7201,0.25
73,충청남도 아산시,49677,39738,0.8
74,충청남도 서산시,36822,15992,0.43
75,충청남도 논산시,33458,8785,0.26
76,충청남도 계룡시,6552,4597,0.7
77,충청남도 당진시,35271,14970,0.42
78,충청남도 금산군,17579,2930,0.17
79,충청남도 부여군,24032,3611,0.15
80,충청남도 서천군,19942,2691,0.13
81,충청남도 청양군,11795,1830,0.16
82,충청남도 홍성군,25994,8384,0.32
83,충청남도 예산군,26776,5345,0.2
84,충청남도 태안군,21736,3602,0.17
85,전라북도 전주시,111617,79221,0.71
86,전라북도 군산시,57042,24661,0.43
87,전라북도 익산시,62046,27215,0.44
88,전라북도 정읍시,31905,7890,0.25
89,전라북도 남원시,24126,5652,0.23
90,전라북도 김제시,27950,5999,0.21
91,전라북도 완주군,24192,8624,0.36
92,전라북도 진안군,9433,1407,0.15
93,전라북도 무주군,8554,1357,0.16
94,전라북도 장수군,8030,1184,0.15
95,전라북도 임실군,10357,1513,0.15
96,전라북도 순창군,9779,1647,0.17
97,전라북도 고창군,19839,3080,0.16
98,전라북도 부안군,18258,3076,0.17
99,전라남도 목포시,42446,22120,0.52
100,전라남도 여수시,61135,26362,0.43
101,전라남도 순천시,50517,30911,0.61
102,전라남도 나주시,28254,12242,0.43
103,전라남도 광양시,23650,16104,0.68
104,전라남도 담양군,15373,3304,0.21
105,전라남도 곡성군,10576,1637,0.15
106,전라남도 구례군,9246,1371,0.15
107,전라남도 고흥군,27061,2951,0.11
108,전라남도 보성군,15952,1974,0.12
109,전라남도 화순군,18185,5133,0.28
110,전라남도 장흥군,13264,2188,0.16
111,전라남도 강진군,12505,2089,0.17
112,전라남도 해남군,23293,3982,0.17
113,전라남도 영암군,15298,3761,0.25
114,전라남도 무안군,19000,9360,0.49
115,전라남도 함평군,12326,1692,0.14
116,전라남도 영광군,16281,4190,0.26
117,전라남도 장성군,14143,2929,0.21
118,전라남도 완도군,16776,2782,0.17
119,전라남도 진도군,10679,1819,0.17
120,전라남도 신안군,14914,1813,0.12
121,경상북도 포항시,104052,46258,0.44
122,경상북도 경주시,64296,20990,0.33
123,경상북도 김천시,35830,12114,0.34
124,경상북도 안동시,42408,13592,0.32
125,경상북도 구미시,48298,49074,1.02
126,경상북도 영주시,30454,7309,0.24
127,경상북도 영천시,31782,7441,0.23
128,경상북도 상주시,32749,6024,0.18
129,경상북도 문경시,23386,4872,0.21
130,경상북도 경산시,51977,30260,0.58
131,경상북도 의성군,22723,2351,0.1
132,경상북도 청송군,10043,1152,0.11
133,경상북도 영양군,6486,800,0.12
134,경상북도 영덕군,14211,1782,0.13
135,경상북도 청도군,17342,2038,0.12
136,경상북도 고령군,10862,1744,0.16
137,경상북도 성주군,15405,2362,0.15
138,경상북도 칠곡군,20840,9903,0.48
139,경상북도 예천군,17898,4167,0.23
140,경상북도 봉화군,12232,1315,0.11
141,경상북도 울진군,14583,3270,0.22
142,경상북도 울릉군,2629,611,0.23
143,경상남도 진주시,67312,37504,0.56
144,경상남도 통영시,28780,9298,0.32
145,경상남도 사천시,27114,8537,0.31
146,경상남도 김해시,74830,58110,0.78
147,경상남도 밀양시,33742,6946,0.21
148,경상남도 거제시,33622,22098,0.66
149,경상남도 양산시,59643,38184,0.64
150,경상남도 의령군,10479,1343,0.13
151,경상남도 함안군,17961,3910,0.22
152,경상남도 창녕군,20640,3263,0.16
153,경상남도 고성군,17491,2778,0.16
154,경상남도 남해군,16889,2046,0.12
155,경상남도 하동군,16518,2089,0.13
156,경상남도 산청군,13847,1654,0.12
157,경상남도 함양군,14001,2124,0.15
158,경상남도 거창군,18536,4271,0.23
159,경상남도 합천군,17922,1932,0.11
160,제주특별자치도 제주시,81115,57082,0.7
161,제주특별자치도 서귀포시,40041,17229,0.43
162,경상남도 창원시,180319,107030,0.59
