,시군구,소멸지수,1인당 자동차 등록대수,고등학교,대규모C,대규모W,병상 비율,병원,보건지소,보육시설 비율,소규모C,소규모W,약국,요양병원,유치원,전규모W,종합병원,중규모C,중규모W,중학교,초등학교
0,부산광역시 중구,0.42,1.057510552,17.92,2,1659,46.8,2,0,22.9,6175,28641,46,4,15.5,51999,1,264,21699,22.18,20.98
1,부산광역시 서구,0.39,0.308168971,18.8,5,8822,50.2,2,0,12.5,3363,14859,96,6,17.71,32792,2,137,9111,24.45,19.77
2,부산광역시 동구,0.39,0.588481866,18.2,6,4517,33.6,5,0,14.9,5231,25622,68,5,18.24,58075,3,365,27936,21.97,19.86
3,부산광역시 영도구,0.27,0.321075947,17.92,3,3822,17.7,2,0,19,3730,17756,58,5,14.68,31976,2,126,10398,21.73,17.53
4,부산광역시 부산진구,0.63,0.430671918,18.77,16,12633,21.2,17,0,13,13675,65984,213,14,18.69,125964,3,631,47347,23.97,21.13
5,부산광역시 동래구,0.52,0.37376807,23.47,7,6080,24.6,18,0,11.5,8041,37999,152,15,19.06,68907,3,318,24828,26.72,23.06
6,부산광역시 남구,0.48,0.399598717,18.94,13,11398,13.3,6,0,17.3,6386,32025,124,8,19.26,63240,1,261,19817,25.37,21.9
7,부산광역시 북구,0.51,0.388024679,19.88,1,740,15.7,9,1,16,5426,25369,110,13,16.69,41981,2,200,15872,23.98,20.95
8,부산광역시 해운대구,0.52,0.474254037,21.53,8,6297,15.2,13,2,15,13856,68220,175,14,19.75,114242,2,517,39725,25.43,21.91
9,부산광역시 사하구,0.46,0.384852483,20.95,6,7446,24,20,0,16.8,8446,43410,133,21,17.34,83336,0,452,32480,24.23,21.19
10,부산광역시 금정구,0.44,0.395973839,20.4,7,8657,24.2,11,0,15.3,7241,35676,108,17,17.94,72722,0,357,28389,24.29,21.11
11,부산광역시 강서구,0.84,0.640369111,24.82,9,13094,3.8,7,4,14,13026,66663,45,0,17.7,117924,0,556,38167,24.15,22.62
12,부산광역시 연제구,0.53,0.627630415,24,5,4870,23.7,12,0,13.4,7439,35176,107,12,17.99,62573,1,325,22527,24.16,22.37
13,부산광역시 수영구,0.56,0.718710964,20.92,1,983,21.9,7,0,12.9,5578,24971,96,10,17.64,41973,2,191,16019,23.99,21.42
14,부산광역시 사상구,0.5,0.440383971,19.42,7,5251,31.2,7,0,18.3,12860,63583,84,14,17.46,91792,2,342,22958,23.13,19
15,부산광역시 기장군,0.57,0.501463109,27.42,3,2672,9.9,5,4,17.5,6392,32788,65,5,15.76,56112,1,289,20652,25.62,22.69
16,대구광역시 중구,0.75,0.699014192,22.44,3,4494,42.1,11,0,11.5,7872,36625,152,2,20.52,62445,2,278,21326,22.98,21.91
17,대구광역시 동구,0.49,0.507069452,21.88,9,8105,11.9,7,0,16,10121,47988,180,8,17.24,87302,2,400,31209,22.71,21.63
18,대구광역시 서구,0.36,0.465676954,22.18,4,3938,25.8,7,0,21.4,6821,33545,107,12,14.96,55526,1,277,18043,20.23,18.03
19,대구광역시 남구,0.47,0.413163586,22.22,6,10097,34,5,0,14.7,4133,18948,107,9,22.33,40244,2,150,11199,21.92,19.31
20,대구광역시 북구,0.67,0.502421215,22,6,5667,17.6,20,1,15.2,17387,81119,209,13,18.42,17776,1,383,26983,22.52,21.76
21,대구광역시 수성구,0.57,0.54058984,22.36,9,6223,11.3,13,0,12.5,11418,57309,211,10,20.18,98664,1,496,35132,25.42,23.77
22,대구광역시 달서구,0.65,0.556990494,22.2,7,8112,17.6,21,0,15.4,17786,92620,276,12,20.13,159698,5,802,58966,24.25,22.42
23,대구광역시 달성군,0.73,0.560461531,24.03,10,7928,11.5,5,7,12.9,8339,45462,94,9,19.79,86407,0,436,33017,22.64,21.98
24,경상북도 군위군,0.1,0.704628502,18.31,0,0,0.4,0,7,14.3,840,3994,8,0,6.25,5810,0,29,1816,11.32,8.66
25,광주광역시 동구,0.58,0.452890573,23.23,6,13294,57.5,5,0,13.1,6173,25926,104,9,17.14,53506,1,194,14286,20.96,18.48
26,광주광역시 서구,0.76,0.537481822,23.53,12,20154,21.5,22,0,19,12711,63683,148,9,17.29,122795,5,520,38958,23.84,20.25
27,광주광역시 남구,0.57,0.4605764,21.92,6,4476,29.7,12,0,16.4,5246,24602,115,9,17.16,5497,4,245,19604,24.04,22
28,광주광역시 북구,0.7,0.491874228,23.51,5,6964,26,26,0,16.8,14708,70728,202,18,17.46,128696,6,620,51004,23.45,20.06
29,광주광역시 광산구,1.14,0.549738998,26.11,8,8181,24,17,1,19.2,14878,75684,160,16,17.6,134227,7,659,50362,24.55,20.66
30,대전광역시 동구,0.52,0.450346463,19.63,7,5875,16,3,1,21.6,6603,30720,120,13,15.38,54791,1,222,18196,23.38,18.38
31,대전광역시 중구,0.5,0.456699932,19.93,8,11083,25.5,3,1,19.8,6913,32747,151,12,15.44,69041,2,339,25211,24.07,18.47
32,대전광역시 서구,0.91,0.489492805,23,12,12122,15.6,23,2,19,14778,73100,263,10,15.99,129928,3,605,44706,24.43,21.31
33,대전광역시 유성구,1.21,0.546500566,21.75,32,31407,12.9,14,2,18,14264,73356,145,9,17.02,159556,1,670,54793,24.2,20.71
34,대전광역시 대덕구,0.56,0.562186126,20.95,10,11831,13.5,4,0,21.8,7308,35009,86,3,16.39,73187,2,297,26347,22.07,17.31
35,울산광역시 중구,0.53,0.504734794,23.02,5,3801,11.1,5,0,15.5,4958,21549,81,5,17.18,36899,2,151,11549,24.16,20.95
36,울산광역시 남구,0.76,0.536962296,22.45,14,14293,19.7,20,1,16.2,12962,63934,157,16,17.8,131305,3,670,53078,25.66,21.48
